Rank,Name,Net Worth,Age,Source,Country
207,Jay Y. Lee,$10.0 B,55,Samsung,South Korea
208,John Malone,$10.0 B,82,Cable television,United States
209,Charles Schwab,$9.9 B,86,Discount brokerage,United States
210,Vincent Bolloré & family,$9.9 B,71,Investments,France
211,Carl Cook,$9.9 B,61,Medical devices,United States
212,Viatcheslav Kantor,$9.8 B,70,"Fertilizer, real estate",Russia
213,Rodolphe Saadé,$9.8 B,53,Shipping,France
213,Jacques Saadé Jr,$9.8 B,52,Shipping,France
213,Tanya Saadé Zeenny,$9.8 B,55,Shipping,France
216,James Dyson,$9.8 B,76,Vacuums,United Kingdom
217,Alexander Otto,$9.7 B,56,Real estate,Germany
218,Elizabeth Johnson,$9.7 B,60,Fidelity,United States
219,Victoria Mars,$9.7 B,67,"Candy, pet food",United States
219,Marijke Mars,$9.7 B,59,"Candy, pet food",United States
219,Valerie Mars,$9.7 B,64,"Candy, pet food",United States
219,Pamela Mars,$9.7 B,63,"Candy, pet food",United States
223,Sun Piaoyang,$9.6 B,65,Pharmaceuticals,China
224,Bernard Marcus,$9.6 B,94,Home Depot,United States
225,Michael Kim,$9.6 B,60,Private equity,United States
226,Thierry Dassault,$9.6 B,66,Diversified,France
226,Laurent Dassault,$9.6 B,70,Diversified,France
228,Xu Hang,$9.6 B,61,Medical devices,Hong Kong
229,Ernesto Bertarelli,$9.5 B,58,"Biotech, investments",Switzerland
230,Marie-Hélène Habert-Dassault,$9.5 B,58,Diversified,France
231,Antony Ressler,$9.5 B,63,Finance,United States
232,Aliko Dangote,$9.5 B,66,"Cement, sugar",Nigeria
233,Daniel Kretinsky,$9.5 B,48,"Energy, investments",Czech Republic
234,Finn Rausing,$9.5 B,69,Packaging,Sweden
235,Manuel Villar,$9.5 B,74,Real estate,Philippines
236,Jorn Rausing,$9.5 B,64,Packaging,Sweden
236,Kirsten Rausing,$9.5 B,71,Packaging,Sweden
238,Marc Benioff,$9.5 B,59,Business software,United States
239,James Goodnight,$9.4 B,80,Software,United States
240,Yu Yong,$9.3 B,62,Mining,China
241,Brian Chesky,$9.3 B,42,Airbnb,United States
242,Chen Bang,$9.3 B,58,Hospitals,China
243,Ivan Glasenberg,$9.3 B,66,Mining,Switzerland
244,Mangal Prabhat Lodha,$9.3 B,68,Real estate,India
245,Carrie Perrodo & family,$9.3 B,73,Oil,France
246,Tilman Fertitta,$9.3 B,66,"Entertainment, Houston Rockets",United States
247,Graeme Hart,$9.3 B,68,Investments,New Zealand
248,Carlos Alberto Sicupira & family,$9.2 B,76,Beer,Brazil
249,Ann Walton Kroenke,$9.2 B,75,Walmart,United States
250,Robert F. Smith,$9.2 B,61,Private equity,United States
251,Patrick Ryan,$9.1 B,86,Insurance,United States
252,Anthony von Mandl,$9.1 B,73,Alcoholic beverages,Canada
253,Harry Stine,$9.1 B,82,Agriculture,United States
254,Tom Gores,$9.1 B,59,Private equity,United States
255,Nancy Walton Laurie,$9.0 B,72,Walmart,United States
256,J. Christopher Reyes,$9.0 B,70,Food distribution,United States
256,Jude Reyes,$9.0 B,68,Food distribution,United States
258,Leonid Fedun,$9.0 B,67,Oil,Russia
259,Roman Abramovich & family,$9.0 B,57,"Steel, investments",Russia
260,Georg Stumpf,$9.0 B,51,"Real estate, construction",Austria
261,Michael Otto,$9.0 B,80,"Retail, real estate",Germany
262,Jack Dangermond,$9.0 B,78,Mapping software,United States
263,Ramzi Musallam,$9.0 B,55,Private equity,United States
264,Jean-Michel Besnier,$9.0 B,56,Cheese,France
264,Marie Besnier Beauvalot,$9.0 B,43,Cheese,France
266,Nathan Blecharczyk,$8.9 B,40,Airbnb,United States
267,Sandra Ortega Mera,$8.8 B,55,Zara,Spain
268,Jimmy Haslam,$8.7 B,69,"Gas stations, retail",United States
269,Li Xiang,$8.7 B,42,Electric vehicles,China
270,Orlando Bravo,$8.7 B,53,Private equity,United States
271,Sri Prakash Lohia,$8.7 B,71,Petrochemicals,Indonesia
272,Francine von Finck & family,$8.7 B,,Investments,Germany
273,Zhong Huijuan,$8.6 B,62,Pharmaceuticals,China
274,Wang Xing,$8.6 B,44,Food delivery,China
275,Enrique Razon Jr.,$8.6 B,63,Ports,Philippines
276,Shapoor Mistry,$8.5 B,59,Diversified,Ireland
276,Rohiqa Cyrus Mistry,$8.5 B,56,Diversified,India
278,Robert Rowling,$8.5 B,70,"Hotels, investments",United States
279,John Morris,$8.5 B,75,Sporting goods retail,United States
280,Joe Gebbia,$8.4 B,42,Airbnb,United States
281,Andre Esteves,$8.4 B,55,Banking,Brazil
282,Pauline MacMillan Keinath,$8.4 B,90,Cargill,United States
283,Alejandro Baillères Gual & family,$8.4 B,62,Diversified,Mexico
284,David Shaw,$8.3 B,72,Hedge funds,United States
285,Andrei Guriev & family,$8.3 B,63,Fertilizers,Russia
286,Karel Komarek,$8.3 B,54,"Oil and gas, IT, lotteries",Czech Republic
287,Nicky Oppenheimer & family,$8.3 B,78,Diamonds,South Africa
288,German Khan,$8.3 B,62,"Oil, banking, telecom",Russia
289,Pang Kang,$8.3 B,67,Soy sauce,China
290,David Velez & family,$8.3 B,42,Fintech,Colombia
291,Mat Ishbia,$8.3 B,43,Mortgage lender,United States
292,Elisabeth DeLuca & family,$8.2 B,76,Subway,United States
293,Liu Hanyuan,$8.2 B,60,Agribusiness,China
294,Francis Choi,$8.2 B,76,Real estate,Hong Kong
295,Wang Laisheng,$8.2 B,59,Electronics components,Hong Kong
296,Ralph Lauren,$8.2 B,84,Apparel,United States
297,Leonard Stern,$8.1 B,85,Real estate,United States
298,Paul Tudor Jones II,$8.1 B,69,Hedge funds,United States
299,Arthur Blank,$8.1 B,81,Home Depot,United States
300,Ken Fisher,$8.1 B,73,Money management,United States
301,David Geffen,$8.1 B,80,"Movies, record labels",United States
302,Tamara Gustavson,$8.0 B,62,Self storage,United States
303,Ivar Tollefsen,$8.0 B,62,Real estate,Norway
304,Pavel Tykac,$8.0 B,59,Coal mines,Czech Republic
305,Eric Wittouck,$8.0 B,77,Investments,Belgium
306,Sunil Mittal,$8.0 B,66,Telecom,India
307,Xu Shihui,$7.9 B,66,"Snacks, beverages",China
308,Zhang Congyuan,$7.9 B,76,Shoes,Taiwan
309,John Reece,$7.9 B,66,Chemicals,United Kingdom
310,Wang Laichun,$7.9 B,56,Electronics components,Hong Kong
311,Andrew Currie,$7.9 B,68,Chemicals,United Kingdom
312,Benu Gopal Bangur,$7.8 B,92,Cement,India
313,Rekha Jhunjhunwala,$7.8 B,60,Investments,India
314,Josh Harris,$7.8 B,59,Private equity,United States
315,Gustaf Douglas,$7.8 B,85,Investments,Sweden
316,Judy Faulkner,$7.8 B,80,Healthcare software,United States
317,Bruce Kovner,$7.7 B,78,Hedge funds,United States
318,Steven Rales,$7.7 B,72,"Manufacturing, investments",United States
319,Igor Olenicoff,$7.7 B,81,Real estate,United States
320,Hasmukh Chudgar & family,$7.7 B,90,Pharmaceuticals,India
321,Andrei Skoch & family,$7.7 B,57,Metals and mining,Russia
322,Richard Kinder,$7.7 B,79,Pipelines,United States
323,Charles Butt,$7.6 B,85,Supermarkets,United States
324,Alain Bouchard,$7.6 B,74,Convinience stores,Canada
325,Frederik Paulsen,$7.6 B,73,Health care,Sweden
326,Brian Armstrong,$7.6 B,40,Cryptocurrency,United States
327,Rocco Commisso,$7.6 B,74,Telecom,United States
328,David Steward,$7.6 B,72,IT provider,United States
329,Carl Bennet,$7.6 B,72,Investments,Sweden
330,Ken Langone,$7.6 B,88,Investments,United States
331,Jonathan Gray,$7.6 B,53,Investments,United States
332,Zheng Shuliang & family,$7.5 B,78,Aluminum products,China
333,Jeff Greene,$7.5 B,69,"Real estate, investments",United States
334,Joseph Tsai,$7.5 B,59,E-commerce,Canada
335,Edward Roski Jr,$7.5 B,85,Real estate,United States
336,Michael Herz,$7.5 B,80,Coffee,Germany
336,Wolfgang Herz,$7.5 B,73,Coffee,Germany
338,Wang Liping & family,$7.4 B,57,Hydraulic machinery,China
339,Ma Jianrong,$7.4 B,60,"Textiles, apparel",China
340,Terry Gou,$7.4 B,73,Electronics,Taiwan
341,Massimiliana Landini Aleotti & family,$7.4 B,81,Pharmaceuticals,Italy
342,Randa Duncan Williams,$7.4 B,62,Pipelines,United States
343,Nassef Sawiris,$7.4 B,62,"Construction, investments",Egypt
344,Robert Pera,$7.4 B,45,Wireless networking,United States
345,Don Hankey,$7.4 B,80,Auto loans,United States
346,Dannine Avara,$7.3 B,59,Pipelines,United States
347,Johann Graf,$7.3 B,76,Gambling,Austria
348,Milane Frantz,$7.3 B,54,Pipelines,United States
348,Scott Duncan,$7.3 B,41,Pipelines,United States
350,Stephen Bisciotti,$7.3 B,63,"Staffing, Baltimore Ravens",United States
351,Arthur Dantchik,$7.3 B,66,"Trading, investments",United States
352,David Siegel,$7.3 B,62,Hedge funds,United States
352,John Overdeck,$7.3 B,54,Hedge funds,United States
354,Wee Cho Yaw,$7.3 B,94,Banking,Singapore
355,Luis Carlos Sarmiento,$7.3 B,90,Banking,Colombia
356,Lin Shu-hong,$7.3 B,95,Petrochemicals,Taiwan
357,Stefano Pessina,$7.3 B,82,Drugstores,Monaco
358,Philip Ng,$7.3 B,65,Real Estate,Singapore
359,Robert Rich Jr,$7.2 B,82,Frozen foods,United States
360,Ernest Garcia II,$7.2 B,66,Used cars,United States
361,Ray Lee Hunt,$7.2 B,80,"Oil, real estate",United States
362,Douglas Leone,$7.2 B,66,Venture capital,United States
363,Guillaume Pousaz,$7.2 B,42,Fintech,Switzerland
364,Anthony Bamford & family,$7.1 B,78,Construction equipment,United Kingdom
365,Magdalena Martullo-Blocher,$7.1 B,54,Chemicals,Switzerland
366,M.A. Yusuff Ali,$7.1 B,68,Retail,India
367,Rahel Blocher,$7.1 B,48,Chemicals,Switzerland
368,Gopikishan Damani,$7.1 B,66,"Retail, investments",India
369,Ronda Stryker,$7.1 B,69,Medical equipment,United States
370,Robin Li,$7.1 B,55,Internet search,China
371,Denise Coates,$7.1 B,56,Online gambling,United Kingdom
372,Robert Ng,$7.1 B,72,Real estate,Singapore
373,Reinhold Schmieding,$7.1 B,68,Medical devices,United States
374,Vikram Lal & family,$7.1 B,81,Motorcycles,India
375,Dennis Washington,$7.1 B,89,"Construction, mining",United States
376,Xavier Niel,$7.0 B,56,"Internet, telecom",France
377,Chip Wilson,$7.0 B,66,Lululemon,Canada
378,Tatyana Bakalchuk,$7.0 B,48,Ecommerce,Russia
379,Piero Ferrari,$7.0 B,78,Automobiles,Italy
380,Wu Yajun,$7.0 B,60,Real estate,China
381,Lin Muqin & family,$7.0 B,60,Beverages,China
382,Anders Holch Povlsen,$7.0 B,51,Fashion retail,Denmark
383,Law Kar Po,$7.0 B,75,Real estate,Hong Kong
384,Wu Jianshu,$7.0 B,60,Auto parts,Hong Kong
385,Edythe Broad & family,$7.0 B,88,"Homebuilding, insurance",United States
386,Leo Koguan,$6.9 B,68,IT provider,United States
387,Tobi Lutke,$6.9 B,43,E-commerce,Canada
388,Li Ge,$6.9 B,57,Pharmaceutical ingredients,United States
389,Michal Solowow,$6.9 B,61,Investments,Poland
390,Takahisa Takahara,$6.9 B,62,personal care goods,Japan
391,Chen Jianhua,$6.9 B,53,Chemicals,China
392,Pankaj Patel,$6.9 B,70,Pharmaceuticals,India
393,Agnete Kirk Thinggaard,$6.9 B,40,Lego,Denmark
393,Kjeld Kirk Kristiansen,$6.9 B,76,Lego,Denmark
393,Sofie Kirk Kristiansen,$6.9 B,48,Lego,Denmark
393,Thomas Kirk Kristiansen,$6.9 B,45,Lego,Denmark
397,Charles Simonyi,$6.9 B,75,Microsoft,United States
398,David Reuben,$6.9 B,85,"Investments, real estate",United Kingdom
398,Simon Reuben,$6.9 B,82,"Real estate, investments",United Kingdom
400,Fredrik Lundberg,$6.8 B,72,"Real estate, investments",Sweden
401,Dmitri Bukhman,$6.8 B,38,Online games,Israel
401,Igor Bukhman,$6.8 B,41,Online games,Israel
403,Iskander Makhmudov,$6.8 B,60,"Mining, metals, machinery",Russia
404,Vinod Khosla,$6.8 B,68,Venture capital,United States
405,Terrence Pegula,$6.8 B,72,Natural gas,United States
406,Alain Merieux & family,$6.8 B,86,Pharmaceuticals,France
407,Yuri Milner,$6.8 B,62,Tech investments,Israel
408,Christopher Hohn,$6.7 B,57,Hedge funds,United Kingdom
409,Radovan Vitek,$6.7 B,52,Real estate,Czech Republic
410,Thomas Schmidheiny,$6.7 B,78,Cement,Switzerland
411,George Soros,$6.7 B,93,Hedge funds,United States
412,Ludwig Merckle,$6.7 B,58,Pharmaceuticals,Germany
413,Wang Wenyin,$6.7 B,55,"Mining, copper products",China
414,Richard White,$6.7 B,68,Software,Australia
415,Lynsi Snyder,$6.7 B,41,In-N-Out Burger,United States
416,Murali Divi & family,$6.6 B,72,Pharmaceuticals,India
417,Viktor Vekselberg,$6.6 B,66,"Metals, investments",Russia
418,Bert Beveridge,$6.6 B,62,Vodka,United States
419,Qi Shi & family,$6.6 B,53,Financial information,China
420,Annette Lerner & family,$6.6 B,93,Real estate,United States
421,Sergio Stevanato & family,$6.6 B,80,Medical packaging,Italy
422,Wang Yusuo & family,$6.5 B,59,Natural gas distribution,China
423,Blair Parry-Okeden,$6.5 B,73,"Media, automotive",United States
424,Zhou Qunfei,$6.5 B,,Smartphone screens,Hong Kong
425,Jim Kennedy,$6.5 B,76,"Media, automotive",United States
426,Marcos Galperin,$6.5 B,,E-commerce,Argentina
427,John Brown,$6.5 B,89,Medical equipment,United States
428,Michael Milken,$6.5 B,77,Investments,United States
429,Alexei Kuzmichev,$6.5 B,61,"Oil, banking, telecom",Russia
430,Nadia Thiele,$6.5 B,47,Investments,Germany
431,Liang Wengen,$6.4 B,67,Construction equipment,China
432,Gary Rollins,$6.4 B,79,Pest control,United States
433,Michael Kadoorie,$6.4 B,82,"Hotels, energy",Hong Kong
434,Michel Leclercq & family,$6.4 B,84,Sporting goods,France
435,Wang Jianlin,$6.4 B,69,Real estate,China
436,Dmitry Rybolovlev & family,$6.4 B,57,Fertilizer,Russia
437,Mahendra Choksi & family,$6.4 B,82,Paints,India
438,Pierre Omidyar,$6.4 B,56,"EBay, PayPal",United States
439,John Grayken,$6.3 B,67,Private equity,Ireland
440,Jean Salata,$6.3 B,58,Finance,Chile
441,Ding Shizhong,$6.3 B,53,Sports apparel,China
442,Maria Asuncion Aramburuzabala & family,$6.3 B,60,"Beer, investments",Mexico
443,Don Vultaggio & family,$6.3 B,71,Beverages,United States
444,David Bonderman,$6.3 B,81,Private equity,United States
445,Karen Pritzker,$6.3 B,65,"Hotels, investments",United States
446,Micky Arison,$6.3 B,74,Carnival Cruises,United States
447,Pei Zhenhua,$6.3 B,65,Batteries,China
448,Alexandre Behring,$6.3 B,56,Investments,Brazil
449,Frits Goldschmeding,$6.3 B,90,Temp agency,Netherlands
450,Hong Ra-hee,$6.3 B,78,Samsung,South Korea
451,Stef Wertheimer & family,$6.3 B,97,Metalworking tools,Israel
452,Peter Thiel,$6.3 B,56,"Facebook, investments",United States
453,Scott Cook,$6.2 B,71,Software,United States
454,Helmut Sohmen,$6.2 B,84,Shipping,Austria
